experiment,group,scenario,chain,quality,engine,cs_psnr,sr_psnr,cs_ssim,sr_ssim,cs_mae,sr_mae,cs_rmse,sr_rmse
single,sweep,JPEG q=65,JPEG,65,real,20.956085815429688,21.74632293701172,0.8282053685188293,0.6131758880615235,16.71744857788086,15.594270057678223,24.520963439941408,21.51948699951172
single,sweep,JPEG q=50,JPEG,50,real,20.956085815429688,21.28728675842285,0.8282053685188293,0.5854497790336609,16.71744857788086,16.376818351745605,24.520963439941408,22.666828002929687
single,sweep,WebP q=95,WebP,95,real,20.95489028930664,23.15874740600586,0.8282087969779969,0.7162222599983216,16.718472061157225,13.38053897857666,24.524309463500977,18.43038299560547
single,sweep,WebP q=90,WebP,90,real,20.95489028930664,23.061590576171874,0.8282087969779969,0.7062807512283326,16.718472061157225,13.52242172241211,24.524309463500977,18.619219665527343
single,sweep,WebP q=80,WebP,80,real,20.95489028930664,22.742234497070314,0.8282087969779969,0.6809630823135376,16.718472061157225,14.014403228759766,24.524309463500977,19.270563659667967
single,sweep,WebP q=65,WebP,65,real,20.95489028930664,22.35796875,0.8282087969779969,0.6553247165679932,16.718472061157225,14.599809036254882,24.524309463500977,20.091940689086915
single,sweep,WebP q=50,WebP,50,real,20.95489028930664,22.05321350097656,0.8282087969779969,0.6361627578735352,16.718472061157225,15.085707092285157,24.524309463500977,20.775756301879884
single,sweep,HEIF q=95,HEIF,95,real,20.95496826171875,23.319996795654298,0.8282083249092103,0.7355357837677002,16.718415679931642,13.172222442626953,24.524024658203125,18.09322036743164
single,sweep,HEIF q=90,HEIF,90,real,20.95496826171875,23.317128982543945,0.8282083249092103,0.7352110290527344,16.718415679931642,13.17696231842041,24.524024658203125,18.098677825927734
single,sweep,HEIF q=80,HEIF,80,real,20.95496826171875,23.300325164794923,0.8282083249092103,0.7336040878295899,16.718415679931642,13.204511375427247,24.524024658203125,18.130290603637697
single,sweep,HEIF q=65,HEIF,65,real,20.95496826171875,23.21834671020508,0.8282083249092103,0.725363187789917,16.718415679931642,13.333639602661133,24.524024658203125,18.28855484008789
single,sweep,HEIF q=50,HEIF,50,real,20.95496826171875,22.76133201599121,0.8282083249092103,0.6905528926849365,16.718415679931642,14.058338508605956,24.524024658203125,19.204937896728516
